source_id,target_id,rationale,verification_method,status
TC-INT-001,COMP-007,Tests DGN event log write/read via IF-020 SPI Flash interface,Integration test execution with SPI Flash hardware,verified
TC-INT-002,COMP-007,Tests DGN non-interference with safety state during event logging,Integration test with SKN stub monitoring safe_state_active,verified
TC-INT-003,COMP-006,Tests normal TCMS speed message delivery through TCI component,Integration test with CAN stub injecting valid frames,verified
TC-INT-003,COMP-002,Tests SPM reception of speed data from TCI via IF-001,Integration test verifying speed_valid flag propagation,verified
TC-INT-004,COMP-006,Tests TCI CRC-16 validation and fail-safe behavior on CRC error,Integration test with corrupted CAN frame injection,verified
TC-INT-004,COMP-002,Tests SPM retaining last valid speed on CRC error,Integration test verifying speed_valid=false retention,verified
TC-INT-005,COMP-006,Tests TCI CAN timeout detection (200 ms),Integration test with CAN frame withheld,verified
TC-INT-005,COMP-002,Tests SPM speed interlock activation on timeout,Integration test verifying interlock flag transition,verified
TC-INT-006,COMP-002,Tests SPM to SKN speed interlock gate propagation via IF-002,Integration test with SKN stub monitoring interlock flag,verified
TC-INT-006,COMP-001,Tests SKN reception of speed interlock gate from SPM,Integration test verifying safe state logic integration,verified
TC-INT-007,COMP-002,Tests SPM to DSM speed gate propagation via IF-003,Integration test with DSM stub monitoring speed gate,verified
TC-INT-007,COMP-004,Tests DSM rejection of OPENING command when speed interlock active,Integration test verifying FSM transition blocking,verified
TC-INT-008,COMP-006,Tests TCI CAN sequence counter validation,Integration test with out-of-sequence frame injection,verified
TC-INT-009,COMP-008,Tests HAL GPIO position/lock sensor read from hardware,Integration test with sensor signal injection,verified
TC-INT-009,COMP-004,Tests DSM state transition based on HAL sensor data via IF-004,Integration test verifying FSM state CLOSED_AND_LOCKED,verified
TC-INT-010,COMP-008,Tests HAL GPIO obstacle sensor ISR triggering,Integration test with obstacle pulse injection,verified
TC-INT-010,COMP-003,Tests OBD obstacle detection and DSM reversal command via IF-006,Integration test verifying reversal flag propagation,verified
TC-INT-010,COMP-004,Tests DSM state transition to REVERSING on obstacle,Integration test verifying FSM reversal logic,verified
TC-INT-011,COMP-003,Tests OBD to SKN obstacle propagation for safety arbitration via IF-007,Integration test with SKN stub monitoring obstacle flag,verified
TC-INT-011,COMP-001,Tests SKN safe state evaluation with obstacle input,Integration test verifying safe state arbitration logic,verified
TC-INT-012,COMP-004,Tests DSM to HAL lock actuator command via IF-010,Integration test verifying GPIO actuator output,verified
TC-INT-012,COMP-008,Tests HAL lock actuator GPIO output on target hardware,Integration test with oscilloscope monitoring GPIO,verified
TC-INT-013,COMP-004,Tests DSM to HAL motor PWM command via IF-011,Integration test verifying PWM duty cycle,verified
TC-INT-013,COMP-008,Tests HAL motor PWM output generation,Integration test with oscilloscope measuring 20 kHz PWM,verified
TC-INT-014,COMP-004,Tests DSM to TCI per-door status reporting via IF-009,Integration test verifying CAN TX frame content,verified
TC-INT-014,COMP-006,Tests TCI transmission of door status to TCMS,Integration test with CAN analyser capture,verified
TC-INT-015,COMP-005,Tests FMG fault aggregation and safe state escalation via IF-012,Integration test with multiple fault injection,verified
TC-INT-015,COMP-001,Tests SKN safe state activation from FMG fault state bitmask,Integration test verifying safe_state_active=1,verified
TC-INT-016,COMP-001,Tests SKN safe state broadcast to all components via IF-015,Integration test with all component stubs monitoring broadcast,verified
