Software_Requirement,Test_Case,Test_Description,Priority,SIL,VER_Verified,Comments
REQ-FUN-001,TC-OSTS-FUNC-001,Door open command accepted — all 5 preconditions satisfied,Critical,3,PENDING,
REQ-FUN-001,TC-OSTS-FUNC-002,Door open command rejected — train speed > 5 km/h,Critical,3,PENDING,
REQ-FUN-001,TC-OSTS-FUNC-003,Door open command rejected — active door fault present,High,3,PENDING,
REQ-FUN-001,TC-OSTS-FUNC-004,Door open command rejected — active emergency stop flag,High,3,PENDING,
REQ-FUN-001,TC-OSTS-FUNC-005,Door open command rejected — wrong operational mode,High,3,PENDING,
REQ-FUN-001,TC-OSTS-FUNC-006,Command-to-motor-start latency ≤ 200 ms,Critical,3,PENDING,
REQ-FUN-002,TC-OSTS-FUNC-007,Door declared FULLY_OPEN — both sensors agree,High,3,PENDING,
REQ-FUN-002,TC-OSTS-FUNC-008,Door NOT declared FULLY_OPEN — single sensor only,High,3,PENDING,
REQ-FUN-002,TC-OSTS-FUNC-009,Sensor disagreement logged — FULLY_OPEN not declared,High,3,PENDING,
REQ-FUN-003,TC-OSTS-FUNC-010,Opening timeout fault raised at 4.0 s ± 100 ms,High,2,PENDING,
REQ-FUN-003,TC-OSTS-FUNC-011,Motor de-energized on opening timeout; fault logged to TCMS,High,2,PENDING,
REQ-FUN-004,TC-OSTS-FUNC-012,"Door close command accepted — no obstacle, no fault",Critical,3,PENDING,
REQ-FUN-004,TC-OSTS-FUNC-013,Door close command rejected — obstacle present at command time,Critical,3,PENDING,
REQ-FUN-004,TC-OSTS-FUNC-014,Door close retry after obstacle cleared and command re-issued,High,3,PENDING,
REQ-FUN-005,TC-OSTS-FUNC-015,Door declared CLOSED_AND_LOCKED — all 4 sensors agree (2oo2),Critical,3,PENDING,
REQ-FUN-005,TC-OSTS-FUNC-016,Fault on partial lock sensor agreement (NOT_LOCKED),Critical,3,PENDING,
REQ-FUN-005,TC-OSTS-FUNC-017,Fault on partial position sensor agreement (NOT_CLOSED),Critical,3,PENDING,
REQ-FUN-005,TC-OSTS-FUNC-018,Departure interlock NOT released on sensor fault,Critical,3,PENDING,
REQ-FUN-006,TC-OSTS-FUNC-019,Closing timeout fault at 10.0 s ± 100 ms (no obstacle scenario),High,2,PENDING,
REQ-FUN-006,TC-OSTS-FUNC-020,Fault logged; TCMS alert on closing timeout,High,2,PENDING,
REQ-FUN-007,TC-OSTS-BOUND-023,Retry counter,max valid,3,PENDING,
REQ-FUN-007,TC-OSTS-FUNC-021,Exactly 3 obstacle-induced retries permitted,Medium,2,PENDING,
REQ-FUN-007,TC-OSTS-FUNC-022,Fault raised after 3rd obstacle event; door remains open,Medium,2,PENDING,
REQ-FUN-008,TC-OSTS-FUNC-023,Lock command issued only when both position sensors report closed,Critical,3,PENDING,
REQ-FUN-008,TC-OSTS-FUNC-024,No lock command on position sensor disagreement; fault raised,Critical,3,PENDING,
REQ-FUN-009,TC-OSTS-FUNC-025,MSG_DOOR_LOCKED_ALL transmitted within 100 ms of all-doors-locked,Critical,3,PENDING,
REQ-FUN-009,TC-OSTS-FUNC-026,MSG_DOOR_LOCKED_ALL withheld when any door not CLOSED_AND_LOCKED,Critical,3,PENDING,
REQ-FUN-009,TC-OSTS-FUNC-027,MSG_DOOR_NOT_READY transmitted every 100 ms when doors not ready,High,3,PENDING,
REQ-FUN-010,TC-OSTS-FUNC-028,Lock re-commanded within one 20 ms cycle on lock-lost-while-moving,Critical,3,PENDING,
REQ-FUN-010,TC-OSTS-FUNC-029,FAULT_LOCK_LOST_WHILE_MOVING raised; TCMS alerted,Critical,3,PENDING,
REQ-FUN-011,TC-OSTS-FUNC-030,"All 4 operational modes (NORMAL, SELECTIVE_DISABLE, DIAGNOSTIC, SAFE_STATE) reac...",High,3,PENDING,
REQ-FUN-011,TC-OSTS-FUNC-031,Illegal mode transitions rejected,High,3,PENDING,
REQ-FUN-011,TC-OSTS-FUNC-032,Unknown mode code treated as SAFE_STATE,High,3,PENDING,
REQ-FUN-011,TC-OSTS-FUNC-033,Mode change logged with timestamp,High,3,PENDING,
REQ-FUN-012,TC-OSTS-FUNC-034,Mode transition accepted with valid driver key authorization,High,3,PENDING,
REQ-FUN-012,TC-OSTS-FUNC-035,Mode transition accepted with valid TCMS digital command,High,3,PENDING,
REQ-FUN-012,TC-OSTS-FUNC-036,Unauthorized mode transition rejected; rejection logged,High,3,PENDING,
REQ-FUN-013,TC-OSTS-FUNC-037,Disabled door isolated; remaining doors operational in SELECTIVE_DISABLE,Medium,2,PENDING,
